id_ipa;id_site;site_name;observator;year;date;fuli_atra;gall_chlo;anas_plat;cygn_olor;podi_cris;area_cine;acci_nisu;falc_subb;falc_tinn;colu_palu;colu_oena;colu_livi;stre_deca;cucu_cano;picu_viri;dend_majo;alce_atth;apus_apus;alau_arve;mota_cine;mota_alba;hiru_rust;deli_urbi;paru_majo;cyan_caer;aegi_caud;fice_hypo;sitt_euro;cert_brac;trog_trog;sylv_atri;sylv_comm;sylv_curr;phyl_troc;phyl_coll;erit_rube;turd_meru;phoe_ochr;phoe_phoe;lusc_mega;saxi_rube;chlo_chlo;card_card;frin_coel;lina_cann;seri_seri;pass_dome;embe_cirl;stur_vulg;corv_coro;pica_pica;corv_mone;corv_frug;garr_glan
IPA001a;IPA001;parc_du_drapeau;BFr;2019;;;;;;;;;;;4;;2,5;2;;;;;2;;;;;;1;1;;;;;;1;;;;;;1;;1;;;0,5;;1;;;2,5;;2;1;1;;;
IPA001b;IPA001;parc_du_drapeau;BFr;2019;;;;;;;;;;;0,5;;1;2,5;;;;;6;;;;;2;0,5;;;;;;;;;;;;;1,5;1;;;;;0,5;;;;1,5;;;0,5;2;0,5;;
IPA002a;IPA002;square_pascal;BFr;2019;;;;;;;;;;;3;;6;2;;;;;6;;;;;;0,5;;;;;;;1;;;;;;2,5;;;;;3;1,5;;;;2;;0,5;0,5;0,5;;;
IPA002b;IPA002;square_pascal;BFr;2019;;;;;;;;;;;;;3;4;;;;;2;;;;;;;1;;;;;;2;;;;;;2;1,5;;;;2;;;;1;3,5;;0,5;1,5;0,6;1;;
IPA003a;IPA003;place_republique;BFr;2019;;;;;;;;;;;2;;2;;;;;;3,5;;;;;;1,5;;;;;;;;;;;;;0,5;;;;;;;;;;2;;;0,5;;;1;
IPA003b;IPA003;place_republique;BFr;2019;;;;;;;;;;;1;;2,5;3;;;;;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;6;;;0,5;0,5;;;
IPA004a;IPA004;carrelet_de_loisy;BFa;2019;24/04/2019;;;;;;;;;;1;1;2;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;1;;;;;1;;;0,5;1;0,5;;
IPA004b;IPA004;carrelet_de_loisy;BFa;2019;24/04/2019;;;;;;;;;;0,5;;1,5;1;;;;;;;;;;;1;;;;;;;1;;;;;;1;;;;;1;0,5;;;;4;;;1;;0,5;;
IPA005a;IPA005;centre;BFa;2019;21/05/2019;;;;;;;;;;1;;0,5;1;;;;;1,5;;;;;;1;1;;;;;;1;;;;;;1,5;;;;;1;;;;;2;;;1;;;;
IPA005b;IPA005;rue_montmuzard;BFa;2019;20/05/2019;;;;;;;;;0,5;2;1;1;2;;;0,5;;2,5;;;;;;2;1;;;;;;2;;;;1;;2;1;2;;;1;0,5;;;;3;;0,5;1;0,5;;;
IPA006a;IPA006;fontaine_aux_suisses;BFa;2019;14/05/2019;;;;;;;;;;1;;;;;;;;3;;;;;;1;1;;;;1;;1;;;;;;2;;;;;1;;;;;2;;2;0,5;1;;;
IPA006b;IPA006;fontaine_aux_suisses;BFa;2019;21/05/2019;;;;;;;;;;1;;;1;;;;;2;;;;;;1;1;;;;;;1;;;;;;3;1;;;;1;0,5;;;;2;;;1;0,5;;;
IPA007a;IPA007;square_jean_bouin;BFa;2019;25/04/2019;;;;;;;;;;1;1;1,5;2;;;;;;;;;;;2;1;;;;;;1;;;;;;2,5;;;;;1;1;;;;3;;0,5;1,5;;;;
IPA007b;IPA007;square_jean_bouin;BFa;2019;25/04/2019;;;;;;;;;;1,5;;;2;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;1;0,5;;;1;2;;0,5;0,5;;;;
IPA008a;IPA008;square_creux_denfer;BFa;2019;15/04/2019;;;;;;;;;;2,5;;;2;;;;;;;;;;;2;1;;;;1;;1;;;;;;2;;;;;2;;;;;2;;1;1;1,5;;;
IPA008b;IPA008;square_creux_denfer;BFa;2019;15/04/2019;;;;;;;;;;1,5;;;3;;;;;;;;;;;;;;;;;;2;;;;;;3;;;;;1;1,5;;;0,5;3;;0,5;0,5;;;;1
IPA009a;IPA009;parc_argentieres;BFa;2019;02/04/2019;;;;;;;;;;1,5;;11;1;;1;;;;;;;;;3,5;2;;;1;;;2;;;;1;;1,5;;;;;1;;;;;2;;1;0,5;1,5;0,5;;
IPA009b;IPA009;parc_argentieres;BFa;2019;02/04/2019;;;;;;;;;;1;;1,5;1;;;;;;;;;;;1,5;2;;;;;;;;;;;;1;;;;;1;;;;;6;;;;1;0,5;;
IPA010a;IPA010;beaumarche;BFa;2019;03/05/2019;;;;;;;;;;1;;1,5;0,5;;;;;;;;;;;1;;;;;;;1;;;;;;1,5;;;;;0,5;;;;;4;;0,5;0,5;;;;
IPA010b;IPA010;beaumarche;BFa;2019;03/05/2019;;;;;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;1;;;;;4;;1;1;;;;
IPA011a;IPA011;chevreul;BFr;2019;;;;;;;;;;;2;;0,5;1;;;;;0,5;;;;;;1;1;;;;;;1,5;;;;;;3;0,5;;;;0,5;;;;0,5;1,5;;;0,5;;0,5;;
IPA011b;IPA011;chevreul;BFr;2019;;;;;;;;;;;;;;3;;;;;1,5;;;;;;;1;;;;;;;;;;;;3;;;;;;;;;;5;;;0,5;0,5;;;
IPA012a;IPA012;parc_colombiere;BFa;2019;18/04/2019;;;;;;2;;;;2,5;1;1;1;;1;1;;;;;;;;4;4;;;1,5;2;2;3;;;;;;2,5;;1;;;1;;1;;;;;1;2;;0,5;7;0,5
IPA012b;IPA012;parc_colombiere;BFa;2019;;;;;;;;;;0,5;;;0,5;2;;;;;;;;;;;;1;;;;;;1;;;;;;2;;;;;;1;;;;8;;;1;1,5;;2;
IPA014a;IPA014;kenedy;BFa;2019;26/04/2019;;;;;;;;;;1;;0,5;1,5;;;;;;;;;;;1;;;;;1;;1;;;;;;2,5;;;;;1;1;1;1;;2;;0,5;0,5;;;;
IPA014b;IPA014;kenedy;BFa;2019;26/04/2019;;;0,5;;;;;;;;;1;;;;;;;;;;;;1;0,5;;;;;;;1;;;;;1;1;;;;;;1;;;3;;1;0,5;;;;
IPA015a;IPA015;musee_vie_bourg;BFr;2019;;;;;;;;;;;2;;2;;;;;;;;;;;;1;1;;;;;;1;;;;;;1,5;2;;;;2;;;;1;1,5;;1;0,5;;;;
IPA015b;IPA015;musee_vie_bourg;BFr;2019;;;;;;;;;;;1;;1,5;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;1;;;;;1,5;;1;;;;;
IPA016a;IPA016;square_roupnel;BFr;2019;;;;;;;;;;;1;;0,5;;;;;;;;;;;;;1;;;;;;2;;;1;;;1,5;0,5;;;;;;1;;;2;;;;;;;
IPA016b;IPA016;square_roupnel;BFr;2019;;;;;;;;;;;0,5;;1,5;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;1;;1;;;1,5;;;;;;;
IPA017a;IPA017;port_du_canal;BFr;2019;;1,5;;0,5;1;;1,5;;;;3;;;;;;;;0,5;;;;;;2;;;;;1;;4;;;;1;;2;;;;;;;1;;;0,5;;1;1;;0,5;1;
IPA017b;IPA017;port_du_canal;BFr;2019;;;;;;;0,5;;;;1,5;;2;;;;;;0,5;;1;0,5;;;2;1;;;;;1;2;;;;;;2;1;;;;0,5;1;;;;1,5;;2;2,5;;;2,5;
IPA018a;IPA018;allee_du_parc;BFr;2019;;;;;;;;;;;2;;1;4;;;;;1;;;;;;1;1,5;;;;;;2;;;;;;2;;;;;3;;;;;2,5;;;1;;;;
IPA018b;IPA018;allee_du_parc;BFr;2019;;;;;;;;;;;1;;1,5;2;;;;;1,5;;;;;;1;;;;;;;1;;;;;;1,5;;;;;0,5;;;;;4;;;1;1;0,5;;
IPA020a;IPA020;square_benedictins;BFa;2019;09/04/2019;;;;;;;;;1;3;1;4;2;;;;;;;;;;;2;1;;;;;;;;;;;0,5;1;1;;;;0,5;;;;;4;;;2;;;;
IPA020b;IPA020;square_benedictins;BFa;2019;09/04/2019;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;0,5;;;1;0,5;;;
IPA021a;IPA021;arquebuse;BFa;2019;17/04/2019;;0,5;0,5;;;;;;;3;;2;1;;;1;;;;;;;;3;2;;;0,5;1;;2;;;;1;;2;;2;;;2;1;2;;0,5;3;;1;2,5;;;;
IPA021b;IPA021;arquebuse;BFa;2019;17/04/2019;;;;;;;;;;;;2;1;;;;;;;;;;1,5;;;;;;;;;;;;;;;0,5;;;;;;;;;2,5;;;0,5;;;;
IPA022a;IPA022;darcy;BFa;2019;10/04/2019;;;;;;;;;0,5;2;;;;;;;;;;;;;;1;1;;;;;;1;;;;;;1,5;;;;;2;1;1;;;4;;2;2,5;;;;
IPA022b;IPA022;darcy;BFa;2019;10/04/2019;;;;;;;;;;1;;1;1;;;;;;;;;;;1,5;;;;;;;;;;;;;1;;;;;;;1;;;2;;;0,5;;;;
IPA023a;IPA023;square_milhaud;BFr;2019;;;;;;;;;;;1;;;4;;;;;;;;;;;2;;;;;;;1;;;;;;2;;;;;0,5;;1;;0,5;2;;;0,5;;;;
IPA023b;IPA023;square_milhaud;BFr;2019;;;;;;;;;;;1;;1;3,5;;;;;;;;;;;;1;;;;;;2;;;;;;2;;;;;1,5;;;;;4;;;0,5;1;;;
IPA024a;IPA024;square_dard;BFr;2019;;;;;;;;;;;3;;1,5;3;;;;;;;;;;;1;;;;;;;2;;;1;;;2;1;;;;;;;;1;3,5;;;1;;;;
IPA024b;IPA024;square_dard;BFr;2019;;;;;;;;;;;0,5;;2,5;31;;;;;;;;;;0,5;;;;;;;;;;;;;;;1;;;;;;;;;4;;1;2;1;;;
IPA025a;IPA025;square_spuller;BFr;2019;;;;;;;;;;;1;;;3;;;;;;;;;;;;1;;;;;;1;;;;;;2;1;;;;2;;3;;;2;;;1;;;;
IPA025b;IPA025;square_spuller;BFr;2019;;;;;;;;;;;2;;2,5;1;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;1,5;;1;;;2;;;0,5;1;0,5;;
IPA026a;IPA026;square_montchapet;BFr;2019;;;;;;;;;;;2;;;2;;;;;;;;;;;3;1;;;;;;2;;;;;;3;;;;;1;1;;;;2;;0,5;1;;;;
IPA026b;IPA026;square_montchapet;BFr;2019;;;;;;;;;;1;1,5;;2,5;;;;;;;;;;;;;1;;;;;;;;;;;;3;;;;;;;;;;3;;0,5;2;;;;
IPA027a;IPA027;square_temeraire;BFr;2019;;;;;;;;;;;1;;2;;;;;;3,5;;;;;0,5;1;;;;;;;1;;;;;;2;1;;;;;;;;;1;;;0,5;;;;
IPA027b;IPA027;square_temeraire;BFr;2019;;;;;;;;;;;1,5;;1,5;1,5;;;;;2,5;;;;;;1;1;;;;;;2;;;;;;2;0,5;;;;;;;;;2,5;;;1,5;0,5;0,5;;
IPA028a;IPA028;square_petites_roches;BFa;2019;06/05/2019;;;;;;;;;;1;1;0,5;2;;;;;;;;;;;2;;;;;;;1;;;;;;2;;;;;1;;;;;2;;0,5;1;1;;;
IPA028b;IPA028;square_petites_roches;BFa;2019;06/05/2019;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;1;;;;;;1,5;;;;;1;1;;;;4,5;;0,5;0,5;;;;
IPA029a;IPA029;erasmes_nord;BFa;2019;24/04/2019;;;;;;;;;;1;;0,5;;;;;;1;;;;;;2;;;;;;;2;;;;;;3;1;;;;2;1;;;1;9;;;1;1,5;;;
IPA029b;IPA029;erasmes_nord;BFa;2019;16/04/2019;;;;;;;;;;1;;1,5;2;;;;;;;;;;;1;1;;;;;;1;;;;;;2;;;;;;;;;;5;;1;1,5;1;;;
IPA030a;IPA030;campus;BFa;2019;10/05/2019;;;;;;;;;;1;;;;;;;;1,5;;;;;;2;1;;;;;;2;;;;;;2;0,5;1;;;1;1;1;;1;5;;;1;1;;;
IPA030b;IPA030;campus;BFa;2019;10/05/2019;;;;;;;;;;2;;1;2;;;;;3;;;;;;;;;;;;;1;;;;;;2;1;;;;1;1;;;;3;;;1;1;0,5;;
IPA031a;IPA031;rue_faubourg_raines;BFr;2019;;;;;;;;;;;2;;2;;;;;;1,5;;;;;1,5;;;;;;;;2,5;;;;;;3;;;;;;;1;;1;3,5;;0,5;1;;;;
IPA031b;IPA031;rue_faubourg_raines;BFr;2019;;;;;;;;;;0,5;2;;1,5;;;;;;2;;;;;1,5;2;;;;;;;1;;;;;1;2;;;;;;;;;;3;;;1,5;0,5;;;
IPA035a;IPA035;parking_castel;BFa;2019;29/04/2019;;;;;;;;;;1;;1,5;0,5;;;;;;;;;;;1;;;;;;;1;;;;;;2,5;1;;;;1;0,5;;;1;1,5;;;2;;;;
IPA035b;IPA035;parking_castel;BFa;2019;29/04/2019;;;;;;;;;;1;;2;2;;;;;;;;;;;0,5;1;;;;1;;1;;;1;;;3;1;;;;;1,5;;;;2;;0,5;;;;;
IPA036a;IPA036;coulee_verte;BFa;2021;03/05/2021;;;1;;;0,5;;;;2,5;1;3;1;;1;;;;;;;;;2;1;;;;0,5;1;2;;;;0,5;1;3;;;;;1;;2;;;1;;0,5;2;;;;
IPA036b;IPA036;coulee_verte;BFa;2021;03/05/2021;;;;;;0,5;;;;1;;0,5;1,5;;;;;;;;;;1;1;0,5;;;;;;1;;;;;;1,5;;;;;;;;;;4,5;;;1;1,5;;;
IPA037a;IPA037;ru_de_pouilly;BFa;2021;12/05/2021;;0,5;;;;;;;;3;;;1;;;0,5;;;;;;;;2;1;;;;2;1;2;;;;1,5;;2;;1;2;;1;1;2;;;;;0,5;;;;5;
IPA037b;IPA037;ru_de_pouilly;BFa;2021;12/05/2021;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;2;;;;;;2,5;;;;;;1;;;;5;;0,5;1;0,5;;4;
